Year,Name,College,POS,Rookie AV,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Cmp,PassAtt,Pct,PassYds,Y/A,AY/A,PassTD,Int,Rate,RushAtt,RushYds,RushAvg,RushTD
2015,Cole Stoudt,Clemson,QB,0,76.625,218,,,,4.86,,,,,,,277,421,65.8,2634,6.3,5.9,17,11,126.5,98,200,2,3
2015,Connor Halliday,Washington St.,QB,0,75,196,8.38,31.25,31,4.87,,,,,,,1014,1634,62.1,11308,6.9,6.6,90,50,132.2,112,-492,-4.4,0
2015,Dylan Thompson,South Carolina,QB,0,73.75,223,,,,4.83,,,,,,,390,669,58.3,5391,8.1,8.2,40,16,140.9,122,-6,0,9
2015,Garrett Safron,Sacramento St.,QB,0,72.875,200,,,,4.76,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Gary Nova,Rutgers,QB,0,73.375,222,,,,4.63,,,,,,,689,1245,55.3,9258,7.4,6.8,73,51,129,140,-256,-1.8,4
2015,Grant Hedrick,Boise St.,QB,0,71.75,191,,,,4.76,,,,,,,475,677,70.2,5656,8.4,8.2,39,19,153.7,250,971,3.9,18
2015,Hutson Mason,Georgia,QB,0,73.75,207,,,,4.79,,,,,,,282,434,65,3492,8,8.7,29,7,151.4,73,-5,-0.1,6
2015,Jake Waters,Kansas St.,QB,0,72.875,204,,,,4.85,,,,,,,421,657,64.1,5970,9.1,9.2,40,16,155.6,272,796,2.9,15
2015,Garrett Grayson,Colorado St.,QB,0,74.5,213,10,30,20,4.84,,,,,,,688,1113,61.8,9190,8.3,8.3,64,27,145.3,212,283,1.3,4
2016,Dak Prescott,Mississippi St.,QB,60,74.25,226,10.88,32.25,,4.79,,32.5,116,4.32,7.11,,734,1169,62.8,9376,8,8.3,70,23,146,536,2521,4.7,41
2016,Carson Wentz,North Dakota St.,QB,45,77.25,237,10,33.25,29,4.77,,30.5,118,4.15,6.86,,392,612,64.1,5115,8.4,8.8,45,14,153.9,216,1028,4.8,13
